date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-08-20,GO,Pires do Rio,city,3864,127,False,31686,5217401,12194.6601,0.0329
2021-08-20,GO,Planaltina,city,4387,201,False,90640,5217609,4840.02648,0.0458
2021-08-20,GO,Pontalina,city,1727,49,False,17860,5217708,9669.65286,0.0284
2021-08-20,GO,Porangatu,city,3091,170,False,45633,5218003,6773.60682,0.055
2021-08-20,GO,Porteirão,city,1840,22,False,3931,5218052,46807.42814,0.012
2021-08-20,GO,Portelândia,city,624,11,False,4022,5218102,15514.66932,0.0176
2021-08-20,GO,Posse,city,2272,35,False,37414,5218300,6072.59315,0.0154
2021-08-20,GO,Professor Jamil,city,300,10,False,3203,5218391,9366.21917,0.0333
2021-08-20,GO,Quirinópolis,city,4955,194,False,50701,5218508,9772.98278,0.0392
2021-08-20,GO,Rialma,city,1686,55,False,10940,5218607,15411.33455,0.0326
2021-08-20,GO,Rianápolis,city,788,9,False,4817,5218706,16358.7295,0.0114
2021-08-20,GO,Rio Quente,city,547,6,False,4612,5218789,11860.36427,0.011
2021-08-20,GO,Rio Verde,city,29514,761,False,241518,5218805,12220.20719,0.0258
2021-08-20,GO,Rubiataba,city,2835,86,False,19947,5218904,14212.66356,0.0303
2021-08-20,GO,Sanclerlândia,city,760,29,False,7632,5219001,9958.07128,0.0382
2021-08-20,GO,Santa Bárbara de Goiás,city,846,22,False,6634,5219100,12752.48719,0.026
2021-08-20,GO,Santa Cruz de Goiás,city,187,5,False,2819,5219209,6633.558,0.0267
2021-08-20,GO,Santa Fé de Goiás,city,961,21,False,5523,5219258,17399.96379,0.0219
2021-08-20,GO,Santa Helena de Goiás,city,4548,211,False,38808,5219308,11719.23315,0.0464
2021-08-20,GO,Santa Isabel,city,484,15,False,3815,5219357,12686.76278,0.031
2021-08-20,GO,Santa Rita do Araguaia,city,520,7,False,8935,5219407,5819.80974,0.0135
2021-08-20,GO,Santa Rita do Novo Destino,city,185,9,False,3355,5219456,5514.15797,0.0486
2021-08-20,GO,Santa Rosa de Goiás,city,411,6,False,2252,5219506,18250.44405,0.0146
2021-08-20,GO,Santa Tereza de Goiás,city,281,12,False,3280,5219605,8567.07317,0.0427
2021-08-20,GO,Santa Terezinha de Goiás,city,950,27,False,8562,5219704,11095.53843,0.0284
2021-08-20,GO,Santo Antônio da Barra,city,473,6,False,4854,5219712,9744.54059,0.0127
2021-08-20,GO,Santo Antônio de Goiás,city,1277,31,False,6440,5219738,19829.19255,0.0243
2021-08-20,GO,Santo Antônio do Descoberto,city,3282,105,False,75829,5219753,4328.15941,0.032
2021-08-20,GO,São Domingos,city,179,7,False,13103,5219803,1366.09937,0.0391
2021-08-20,GO,São Francisco de Goiás,city,547,12,False,6267,5219902,8728.25914,0.0219
2021-08-20,GO,São João d'Aliança,city,735,26,False,14085,5220009,5218.31736,0.0354
2021-08-20,GO,São João da Paraúna,city,106,2,False,1345,5220058,7881.04089,0.0189
2021-08-20,GO,São Luís de Montes Belos,city,5047,133,False,34157,5220108,14775.88781,0.0264
2021-08-20,GO,São Luiz do Norte,city,618,18,False,5215,5220157,11850.43145,0.0291
2021-08-20,GO,São Miguel do Araguaia,city,3026,68,False,21920,5220207,13804.74453,0.0225
2021-08-20,GO,São Miguel do Passa Quatro,city,356,6,False,4082,5220264,8721.21509,0.0169
2021-08-20,GO,São Patrício,city,324,9,False,2037,5220280,15905.74374,0.0278
2021-08-20,GO,São Simão,city,1635,64,False,20985,5220405,7791.27949,0.0391
2021-08-20,GO,Senador Canedo,city,21422,362,False,118451,5220454,18085.11536,0.0169
2021-08-20,GO,Serranópolis,city,1314,12,False,8642,5220504,15204.8137,0.0091
2021-08-20,GO,Silvânia,city,2002,28,False,20816,5220603,9617.60184,0.014
2021-08-20,GO,Simolândia,city,429,7,False,6879,5220686,6236.37157,0.0163
2021-08-20,GO,Sítio d'Abadia,city,38,0,False,3001,5220702,1266.24459,0.0
